1a|Hwæt! wē Gār-Dena
1b|in gēar-dagum
2a|þēod-cyninga
2b|þrym gefrūnon,
3a|hū ðā æþelinga
3b|sellen fremedon.
4a|Oft Scyld Scēfing
4b|sceaþena þrēatum,
5a|monegum mǣgþum
5b|meodo-setla oftēah.
6a|Egsode eorl,
6b|syððan ǣrest wearð
7a|fēa-sceaft funden;
7b|hē þæs frōfre gebād,
8a|wēox under wolcnum,
8b|weorð-myndum þāh,
9a|oð þæt him ǣghwylc
9b|þāra ymb-sittendra
10a|ofer hron-rāde
10b|hȳran scolde,
11a|gomban gyldan;
11b|þæt wæs gōd cyning.
12a|Ðǣm eafera wæs
12b|æfter cenned
13a|geong in geardum,
13b|þone God sende
14a|folce tō frōfre;
14b|fyren-ðearfe ongeat,
15a|þæt hīe ǣr drugon
15b|aldor-[lē]ase
16a|lange hwīle.
16b|Him þæs Līf-frēa,
17a|wuldres Wealdend,
17b|worold-āre forgeaf;
18a|Bēowulf wæs brēme
18b|(blǣd wīde sprang),
19a|Scyldes eafera
19b|Scede-landum in.
20a|Swā sceal [geong g]uma
20b|gōde gewyrcean,
21a|fromum feoh-giftum
21b|on fæder *[wi]ne,
22a|þæt hine on ylde
22b|eft gewunigen
23a|wil-gesīþas,
23b|þonne wīg cume,
24a|lēode gelǣsten;
24b|lof-dǣdum sceal
25a|in mǣgþa gehwǣre
25b|man geþeon.
26a|Him ða Scyld gewāt
26b|tō gescæp-hwīle
27a|fela-hrōr fēran
27b|on frēan wǣre;
28a|hī hyne þā ætbǣron
28b|tō brimes faroðe,
29a|swǣse gesīþas,
29b|swā hē selfa bæd,
30a|þenden wordum wēold
30b|wine Scyldinga,
31a|lēof land-fruma
31b|lange āhte.
32a|Þær æt hȳðe stōd
32b|hringed-stefna
33a|īsig ond ūt-fūs,
33b|æþelinges fær;
34a|ālēdon þā
34b|lēofne þēoden,
35a|bēaga bryttan
35b|on bearm scipes,
36a|mǣrne be mæste.
36b|Þǣr wæs mādma fela,
37a|of feor-wegum
37b|frætwa gelǣded.
38a|Ne hȳrde ic cymlīcor
38b|cēol gegyrwan
39a|hilde-wǣpnum
39b|ond heaðo-wǣedum,
40a|billum ond byrnum;
40b|him on bearme læg
41a|mādma mænigo,
41b|þā him mid scoldon
42a|on flōdes ǣht
42b|feor gewītan.
43a|Nalæs hī hine lǣssan
43b|lācum tēodan,
44a|þēod-gestrēonum,
44b|þon[ne] þā dydon,
45a|þe hine æt frum-sceafte
45b|forð onsendon
46a|ǣnne ofer ȳðe
46b|umbor-we*sende.
47a|Þa gyt hīe him āsetton
47b|segen g[yl]denne
48a|hēah ofer hēafod,
48b|lēton hohn beran,
49a|gēafon on gār-secg;
49b|him wæs gēomor sefa,
50a|murnende mōd.
50b|Men ne cunnon
51a|secgan tō sōðe,
51b|sele-rǣdende,
52a|hæleð under heofenum,
52b|hwā þǣm hlæste onfēng.
53a|Þā wæs on burgum
53b|Bēowulf Scyldinga,
54a|lēof lēod‐cyning,
54b|longe þrāge
55a|folcum gefrǣge
55b|(fæder ellor hwearf,
56a|aldor of earde),
56b|oð þæt him eft onwōc
57a|hēah Healfdene;
57b|hēold þenden lifde,
58a|gamol and gūð‐rēow,
58b|glæde Scyldingas.
59a|Þǣm fēower bearn
59b|forð‐gerīmed
60a|in worold wōcun,
60b|weoroda rǣswan,
61a|Heorogār and Hrōðgār
61b|and Hālga til;
62a|hȳrde ic, þat Elan cwēn
62b|Ongenþēowes wæs
63a|Heaðoscilfinges
63b|heals‐gebedde.
64a|Þā wæs Hrōðgāre
64b|here‐spēd gyfen,
65a|wīges weorð‐mynd,
65b|þæt him his wine‐māgas
66a|georne hȳrdon,
66b|oð þæt sēo geogoð gewēox,
67a|mago‐driht micel.
67b|Him on mōd bearn,
68a|þæt heal‐reced
68b|hātan wolde,
69a|medo‐ærn micel
69b|men gewyrcean,
70a|þone yldo bearn
70b|ǣfre gefrūnon,
71a|and þǣr on innan
71b|eall gedǣlan
72a|geongum and ealdum,
72b|swylc him god sealde,
73a|būton folc‐scare
73b|and feorum gumena.
74a|Þā ic wīde gefrægn
74b|weorc gebannan
75a|manigre mǣgðe
75b|geond þisne middan‐geard,
76a|folc‐stede frætwan.
76b|Him on fyrste gelomp
77a|ǣdre mid yldum,
77b|þæt hit wearð eal gearo,
78a|heal‐ærna mǣst;
78b|scōp him Heort naman,
79a|sē þe his wordes geweald
79b|wīde hæfde.
80a|Hē bēot ne ālēh,
80b|bēagas dǣlde,
81a|sinc æt symle.
81b|Sele hlīfade
82a|hēah and horn‐gēap:
82b|heaðo‐wylma bād,
83a|lāðan līges;
83b|ne wæs hit lenge þā gēn
84a|þæt se ecg‐hete
84b|āðum‐swerian
85a|æfter wæl‐nīðe
85b|wæcnan scolde.
86a|Þā se ellen‐gǣst
86b|earfoðlīce
87a|þrāge geþolode,
87b|sē þe in þȳstrum bād,
88a|þæt hē dōgora gehwām
88b|drēam gehȳrde
89a|hlūdne in healle;
89b|þǣr wæs hearpan swēg,
90a|swutol sang scopes.
90b|Sægde sē þe cūðe
91a|frum‐sceaft fīra
91b|feorran reccan,
92a|cwæð þæt se ælmihtiga
92b|eorðan worhte,
93a|wlite‐beorhtne wang,
93b|swā wæter bebūgeð,
94a|gesette sige‐hrēðig
94b|sunnan and mōnan
95a|lēoman tō lēohte
95b|land‐būendum,
96a|and gefrætwade
96b|foldan scēatas
97a|leomum and lēafum;
97b|līf ēac gesceōp
98a|cynna gehwylcum,
98b|þāra þe cwice hwyrfað.
99a|Swā þā driht‐guman
99b|drēamum lifdon
100a|ēadiglīce,
100b|oð þæt ān ongan
101a|fyrene fremman,
101b|fēond on helle:
102a|wæs se grimma gæst
102b|Grendel hāten,
103a|mǣre mearc‐stapa,
103b|sē þe mōras hēold,
104a|fen and fæsten;
104b|fīfel‐cynnes eard
105a|won‐sǣlig wer
105b|weardode hwīle,
106a|siððan him scyppend
106b|forscrifen hæfde.
107a|In Caines cynne
107b|þone cwealm gewræc,
108a|ēce drihten,
108b|þæs þe hē Ābel slōg;
109a|ne gefeah hē þǣre fǣhðe,
109b|ac hē hine feor forwræc,
110a|metod for þȳ māne
110b|man‐cynne fram.
111a|Þanon untȳdras
111b|ealle onwōcon,
112a|eotenas and ylfe
112b|and orcnēas,
113a|swylce gīgantas,
113b|þā wið gode wunnon
114a|lange þrāge;
114b|hē him þæs lēan forgeald.
115a|Gewāt þā nēosian,
115b|syððan niht becōm,
116a|hēan hūses,
116b|hū hit Hring‐Dene
117a|æfter bēor‐þege
117b|gebūn hæfdon.
118a|Fand þā þǣr inne
118b|æðelinga gedriht
119a|swefan æfter symble;
119b|sorge ne cūðon,
120a|won‐sceaft wera.
120b|Wiht unhǣlo
121a|grim and grǣdig
121b|gearo sōna wæs,
122a|rēoc and rēðe,
122b|and on ræste genam
123a|þrītig þegna:
123b|þanon eft gewāt
124a|hūðe hrēmig
124b|tō hām faran,
125a|mid þǣre wæl‐fylle
125b|wīca nēosan.
126a|Þā wæs on ūhtan
126b|mid ǣr‐dæge
127a|Grendles gūð‐cræft
127b|gumum undyrne:
128a|þā wæs æfter wiste
128b|wōp up āhafen,
129a|micel morgen‐swēg.
129b|Mǣre þēoden,
130a|æðeling ǣr‐gōd,
130b|unblīðe sæt,
131a|þolode þrȳð‐swȳð,
131b|þegn‐sorge drēah,
132a|syððan hīe þæs lāðan
132b|lāst scēawedon,
133a|wergan gāstes;
133b|wæs þæt gewin tō strang,
134a|lāð and longsum.
134b|Næs hit lengra fyrst,
135a|ac ymb āne niht
135b|eft gefremede
136a|morð‐beala māre
136b|and nō mearn fore
137a|fǣhðe and fyrene;
137b|wæs tō fæst on þām.
138a|Þā wæs ēað‐fynde,
138b|þē him elles hwǣr
139a|gerūmlīcor
139b|ræste sōhte,
140a|bed æfter būrum,
140b|þā him gebēacnod wæs,
141a|gesægd sōðlīce
141b|sweotolan tācne
142a|heal‐þegnes hete;
142b|hēold hine syððan
143a|fyr and fæstor,
143b|sē þǣm fēonde ætwand.
144a|Swā rīxode
144b|and wið rihte wan
145a|āna wið eallum,
145b|oð þæt īdel stōd
146a|hūsa sēlest.
146b|Wæs sēo hwīl micel:
147a|twelf wintra tīd
147b|torn geþolode
148a|wine Scyldinga,
148b|wēana gehwelcne,
149a|sīdra sorga;
149b|forþām syððan wearð
150a|ylda bearnum
150b|undyrne cūð,
151a|gyddum geōmore,
151b|þætte Grendel wan,
152a|hwīle wið Hrōðgār;‐‐
152b|hete‐nīðas wæg,
153a|fyrene and fǣhðe
153b|fela missēra,
154a|singāle sæce,
154b|sibbe ne wolde
155a|wið manna hwone
155b|mægenes Deniga
156a|feorh‐bealo feorran,
156b|fēo þingian,
157a|nē þǣr nǣnig witena
157b|wēnan þorfte
158a|beorhtre bōte
158b|tō banan folmum;
159a|atol ǣglǣca
159b|ēhtende wæs,
160a|deorc dēað‐scūa
160b|duguðe and geogoðe
161a|seomade and syrede.
161b|Sin‐nihte hēold
162a|mistige mōras;
162b|men ne cunnon,
163a|hwyder hel‐rūnan
163b|hwyrftum scrīðað.
164a|Swā fela fyrena
164b|fēond man‐cynnes,
165a|atol ān‐gengea,
165b|oft gefremede
166a|heardra hȳnða;
166b|Heorot eardode,
167a|sinc‐fāge sel
167b|sweartum nihtum
168a|(nō hē þone gif‐stōl
168b|grētan mōste,
169a|māððum for metode,
169b|nē his myne wisse);
170a|þæt wæs wrǣc micel
170b|wine Scyldinga,
171a|mōdes brecða.
171b|Monig‐oft gesæt
172a|rīce tō rūne;
172b|rǣd eahtedon,
173a|hwæt swīð‐ferhðum
173b|sēlest wǣre
174a|wið fǣr‐gryrum
174b|tō gefremmanne.
175a|Hwīlum hīe gehēton
175b|æt hærg‐trafum
176a|wīg‐weorðunga,
176b|wordum bǣdon,
177a|þæt him gāst‐bona
177b|gēoce gefremede
178a|wið þēod‐þrēaum.
178b|Swylc wæs þēaw hyra,
179a|hǣðenra hyht;
179b|helle gemundon
180a|in mōd‐sefan,
180b|metod hīe ne cūðon,
181a|dǣda dēmend,
181b|ne wiston hīe drihten god,
182a|nē hīe hūru heofena helm
182b|herian ne cūðon,
183a|wuldres waldend.
183b|Wā bið þǣm þe sceal
184a|þurh slīðne nīð
184b|sāwle bescūfan
185a|in fȳres fæðm,
185b|frōfre ne wēnan,
186a|wihte gewendan;
186b|wēl bið þǣm þe mōt
187a|æfter dēað‐dæge
187b|drihten sēcean
188a|and tō fæder fæðmum
188b|freoðo wilnian.
189a|Swā þā mǣl‐ceare
189b|maga Healfdenes
190a|singāla sēað;
190b|ne mihte snotor hæleð
191a|wēan onwendan:
191b|wæs þæt gewin tō swȳð,
192a|lāð and longsum,
192b|þē on þā lēode becōm,
193a|nȳd‐wracu nīð‐grim,
193b|niht‐bealwa mǣst.
194a|Þæt fram hām gefrægn
194b|Higelāces þegn,
195a|gōd mid Gēatum,
195b|Grendles dǣda:
196a|sē wæs mon‐cynnes
196b|mægenes strengest
197a|on þǣm dæge
197b|þysses līfes,
198a|æðele and ēacen.
198b|Hēt him ȳð‐lidan
199a|gōdne gegyrwan;
199b|cwæð hē gūð‐cyning
200a|ofer swan‐rāde
200b|sēcean wolde,
201a|mǣrne þēoden,
201b|þā him wæs manna þearf.
202a|Þone sīð‐fæt him
202b|snotere ceorlas
203a|lȳt‐hwōn lōgon,
203b|þēah hē him lēof wǣre;
204a|hwetton higerōfne,
204b|hǣl scēawedon.
205a|Hæfde se gōda
205b|Gēata lēoda
206a|cempan gecorone,
206b|þāra þe hē cēnoste
207a|findan mihte;
207b|fīftȳna sum
208a|sund‐wudu sōhte;
208b|secg wīsade,
209a|lagu‐cræftig mon,
